program,perform site,range,paragraphs,terminal/frontier statements,intrinsic continuation,ordinary continuation,contextual completion,explicit transfer,nested control,current producer facts,current lower rejection,cluster
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:185@222,"{""performKind"": ""PROCEDURE"", ""from"": ""1000-INITIALIZE"", ""through"": ""1000-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",1000-INITIALIZE,statement:191: PERFORM 3100-READ-REQUEST-MQ    THRU 3100-EXIT,statement:191 -> None,statement:191 -> None,statement:192,,"{""IF"": 1, ""PERFORM_PROCEDURE"": 2}",LEGACY; entry=statement:189; completions=statement:191,,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;PERFORM;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:185@222,"{""performKind"": ""PROCEDURE"", ""from"": ""1000-INITIALIZE"", ""through"": ""1000-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",1000-EXIT,statement:192: EXIT,statement:192 -> statement:3,statement:192 -> statement:3,resume statement:186,,"{""IF"": 1, ""PERFORM_PROCEDURE"": 2}",LEGACY; entry=statement:192; completions=statement:192,statement:192: normal completion cannot override explicit control | statement:192: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:186@223,"{""performKind"": ""PROCEDURE"", ""from"": ""2000-MAIN-PROCESS"", ""through"": ""2000-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",2000-MAIN-PROCESS,,,,statement:215,,"{""PERFORM_PROCEDURE"": 3, ""IF"": 1}",LEGACY; entry=statement:207; completions=,,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:186@223,"{""performKind"": ""PROCEDURE"", ""from"": ""2000-MAIN-PROCESS"", ""through"": ""2000-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",2000-EXIT,statement:215: EXIT,statement:215 -> statement:216,statement:215 -> statement:216,resume statement:187,,"{""PERFORM_PROCEDURE"": 3, ""IF"": 1}",LEGACY; entry=statement:215; completions=statement:215,statement:215: normal completion cannot override explicit control | statement:215: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:187@224,"{""performKind"": ""PROCEDURE"", ""from"": ""9000-TERMINATE"", ""through"": ""9000-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",9000-TERMINATE,statement:329: PERFORM 9100-CLOSE-REQUEST-QUEUE THRU 9100-EXIT,statement:329 -> None,statement:329 -> None,statement:330,,"{""IF"": 1, ""PERFORM_PROCEDURE"": 1}",LEGACY; entry=statement:181; completions=statement:329,,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;PERFORM;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:187@224,"{""performKind"": ""PROCEDURE"", ""from"": ""9000-TERMINATE"", ""through"": ""9000-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",9000-EXIT,statement:330: EXIT,statement:330 -> statement:182,statement:330 -> statement:182,resume statement:188,,"{""IF"": 1, ""PERFORM_PROCEDURE"": 1}",LEGACY; entry=statement:330; completions=statement:330,statement:330: normal completion cannot override explicit control | statement:330: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:190@244,"{""performKind"": ""PROCEDURE"", ""from"": ""1100-OPEN-REQUEST-QUEUE"", ""through"": ""1100-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",1100-OPEN-REQUEST-QUEUE,statement:160: IF WS-COMPCODE = MQCC-OK SET WS-REQUEST-MQ-OPEN TO TRUE ELSE MOVE 'M001'          TO ERR-LOCATION SET  ERR-CRITICAL    TO TRUE SET  ERR-MQ          TO TRUE MOVE WS-COMPCODE     TO WS-CODE-DISPLAY MOVE WS-CODE-DISPLAY TO ERR-CODE-1 MOVE WS-REASON      | statement:197: PERFORM 9500-LOG-ERROR | statement:194: SET WS-REQUEST-MQ-OPEN TO TRUE,statement:160 -> None | statement:197 -> None | statement:194 -> statement:198,statement:160 -> None | statement:197 -> None | statement:194 -> statement:198,statement:198,,"{""IF"": 1, ""PERFORM_PROCEDURE"": 1}","LEGACY; entry=statement:3; completions=statement:160,statement:197,statement:194",statement:194: normal completion cannot override explicit control | statement:194: intrinsic normal edge stays in paragraph,"K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;IF,PERFORM,SET;ONCE"
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:190@244,"{""performKind"": ""PROCEDURE"", ""from"": ""1100-OPEN-REQUEST-QUEUE"", ""through"": ""1100-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",1100-EXIT,statement:198: EXIT,statement:198 -> statement:199,statement:198 -> statement:199,resume statement:191,,"{""IF"": 1, ""PERFORM_PROCEDURE"": 1}",LEGACY; entry=statement:198; completions=statement:198,statement:198: normal completion cannot override explicit control | statement:198: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:191@246,"{""performKind"": ""PROCEDURE"", ""from"": ""3100-READ-REQUEST-MQ"", ""through"": ""3100-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",3100-READ-REQUEST-MQ,statement:164: IF WS-COMPCODE = MQCC-OK MOVE MQMD-CORRELID OF MQM-MD-REQUEST TO WS-SAVE-CORRELID MOVE MQMD-REPLYTOQ OF MQM-MD-REQUEST TO WS-REPLY-QNAME ELSE IF WS-REASON = MQRC-NO-MSG-AVAILABLE SET NO-MORE-MSG-AVAILABLE TO TRUE ELSE MOVE 'M003'                TO ER | statement:165: IF WS-REASON = MQRC-NO-MSG-AVAILABLE SET NO-MORE-MSG-AVAILABLE TO TRUE ELSE MOVE 'M003'                TO ERR-LOCATION SET  ERR-CRITICAL          TO TRUE SET  ERR-CICS              TO TRUE MOVE WS-COMPCODE           TO WS-CODE-DISPLAY MOVE WS-CODE-DI | statement:223: PERFORM 9500-LOG-ERROR | statement:220: SET NO-MORE-MSG-AVAILABLE TO TRUE | statement:25: MOVE MQMD-REPLYTOQ OF MQM-MD-REQUEST TO WS-REPLY-QNAME,statement:164 -> None | statement:165 -> None | statement:223 -> None | statement:220 -> statement:224 | statement:25 -> None,statement:164 -> None | statement:165 -> None | statement:223 -> None | statement:220 -> statement:224 | statement:25 -> None,statement:224,,"{""IF"": 2, ""PERFORM_PROCEDURE"": 1}","LEGACY; entry=statement:219; completions=statement:164,statement:165,statement:223,statement:220,statement:25",statement:220: normal completion cannot override explicit control | statement:220: intrinsic normal edge stays in paragraph,"K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;IF,MOVE,PERFORM,SET;ONCE"
app/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,statement:191@246,"{""performKind"": ""PROCEDURE"", ""from"": ""3100-READ-REQUEST-MQ"", ""through"": ""3100-EXIT"", ""control"": ""once"", ""repetition"": ""ONCE"", ""testMode"": ""BEFORE""}",3100-EXIT,statement:224: EXIT,statement:224 -> statement:225,statement:224 -> statement:225,resume None,,"{""IF"": 2, ""PERFORM_PROCEDURE"": 1}",LEGACY; entry=statement:224; completions=statement:224,statement:224: normal completion cannot override explicit control | statement:224: intrinsic normal edge stays in paragraph,K1_ROOT_EXIT | K2_ROOT_SEQUENTIAL | K3_COMPOSED_FRONTIER | K4_UNPUBLISHED_FRONTIER; RANGE;EXIT;ONCE
