case,operation,source statement,source line,target label,target statement,target line,context,expected materializer,why absent,mechanism,rule
03,0e9caae8e38b68f40418f6847d8089a5,statement:229,416,05932291e1250b9b0945495330a35ec6,statement:230,418,13:statement:164,PartialProgramAssembler.append / activation 13:statement:164 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,2c6b21416550a122cea65bf40a4e3fd4,statement:222,394,d120dcd594ccea9605884de7c0cf9c70,statement:223,397,13:statement:164,PartialProgramAssembler.append / activation 13:statement:164 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,38ff1d30ee08aacb7c6fb81cf2347550,statement:215,373,481843606a7719ddf792208873d3fc09,statement:216,375,13:statement:164,PartialProgramAssembler.append / activation 13:statement:164 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,57eb5df10393930932631eafc6ec09b1,statement:229,416,8a8da127f2bc8b88b119228436e9a26c,statement:230,418,13:statement:161,PartialProgramAssembler.append / activation 13:statement:161 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,c85ca604851af33aa6c9f3bf7eb5e8d4,statement:229,416,cac3a110f94f0f995c52777c0cdebace,statement:230,418,13:statement:160,PartialProgramAssembler.append / activation 13:statement:160 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,c471368e8b0f10a900c7ade9c4693c75,statement:222,394,ba7d20f2cff8abd9a297e63710c642ec,statement:223,397,13:statement:160,PartialProgramAssembler.append / activation 13:statement:160 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,61ad413c97b8d0b22254956db503451d,statement:229,416,818ab98c97bf7699fd4dadfe55e306cd,statement:230,418,13:statement:159,PartialProgramAssembler.append / activation 13:statement:159 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,49a9791646cc9373c861ff7818de616b,statement:222,394,79f1ea7e199db75acfb335a4e9265411,statement:223,397,13:statement:159,PartialProgramAssembler.append / activation 13:statement:159 / statement:223,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,77518e9365b42630467d27e399154f42,statement:215,373,609d0ea2ac7913ee2d1d269136bfb6a5,statement:216,375,13:statement:159,PartialProgramAssembler.append / activation 13:statement:159 / statement:216,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
03,ff975a03c07203a2146846290ee7f4e4,statement:229,416,af2404b2bceb80185f9a0bacd6eeecfa,statement:230,418,13:statement:158,PartialProgramAssembler.append / activation 13:statement:158 / statement:230,CompositionalPerformAdmission closure follows ordinary/control statement edges but omits fileInventory INVALID_KEY handler entry; root inventory exists in different context,FILE_HANDLER_REFERENCE_CLOSURE,I-02
